session_id,timestamp,packets_sent,packets_lost,rtt_ms,retransmissions,resets,label,flow_duration_ms,flow_packets_per_second,flow_bytes_per_second,average_packet_size,packet_length_mean,packet_length_std,fwd_packet_count,bwd_packet_count,fwd_byte_count,bwd_byte_count,down_up_ratio,flow_iat_mean_us,flow_iat_std_us,active_mean_us,idle_mean_us,syn_flag_count,ack_flag_count,psh_flag_count,domain,application,impairment_type,severity,phase_name
satellite_emulated-browsing-0000,2026-04-10T10:00:00Z,18,0,205.94200909986864,0,0,0,1195.086920880643,16.22174530508739,8231.327487847915,503.6641422263614,503.13301859468413,162.30330970352566,12.33682117050958,5.66317882949042,6524.2951752769595,2424.4890913153145,2.1784269121552113,61645.647936932204,15151.507757791795,95585.09363497011,63167.753890243366,0.0,13.095290867248021,1.511463979460867,satellite_emulated,browsing,delay,mild,baseline
satellite_emulated-browsing-0000,2026-04-10T10:00:01Z,16,0,168.27183852007042,0,0,0,1218.657727785559,16.03497573154428,8216.381405287579,511.3254315182866,510.82617972970735,161.5014351259983,10.959257085081472,5.040742914918529,5883.934201056581,2190.8410392219434,2.1741352951459936,62363.67405488384,15213.401319595518,89219.44200916741,60033.40853356888,1.0,11.640258548664908,1.3435235372985486,satellite_emulated,browsing,delay,mild,baseline
satellite_emulated-browsing-0000,2026-04-10T10:00:02Z,18,0,199.137322442832,0,0,0,1283.3118731119046,16.040373591334642,8175.993379583029,509.45979365802015,509.9148726299114,166.37139032779683,12.313812638845398,5.686187361154601,6587.062068436183,2462.3512637574654,2.165565757288911,62342.68761297566,15416.31167862397,82375.91835822444,55322.7271816706,0.0,13.095290867248021,1.511463979460867,satellite_emulated,browsing,delay,mild,baseline
satellite_emulated-browsing-0000,2026-04-10T10:00:03Z,16,1,192.25651412099538,0,0,0,1272.9219628228334,16.22184374817745,8183.355731521183,509.94899597532964,509.4932634235253,166.54173633365633,11.722456908373832,5.277543091626167,6276.747887328767,2287.5861306726056,2.2211958680117188,61645.27383715872,15145.813856138917,102260.73584630023,68582.43678141189,0.0,12.367774707956466,1.4274937583797078,satellite_emulated,browsing,delay,mild,baseline
satellite_emulated-browsing-0000,2026-04-10T10:00:04Z,9,0,180.99243260946199,0,0,0,1185.9539245664623,16.299224088753963,8120.655897020673,504.72940966091073,501.9028273078008,159.94545334228044,6.167376311607372,2.8326236883926286,3268.4990151599877,1215.2522097288345,2.177266375650148,61352.61375355737,15339.99870968321,108685.98093302465,72118.40808797936,0.0,6.547645433624011,0.7557319897304335,satellite_emulated,browsing,delay,mild,baseline
satellite_emulated-browsing-0000,2026-04-10T10:00:05Z,13,0,188.29337090405576,0,0,0,1182.6755644991329,16.584184082108475,8220.459494271383,508.2814684868811,512.8050707322593,165.62945005903694,8.896469654358988,4.103530345641013,4748.006193279891,1772.886165553459,2.1680038661854395,60298.41414259448,14723.813038150367,88510.82203413462,59057.19164614603,0.0,9.457710070790238,1.0916128740550708,satellite_emulated,browsing,delay,mild,baseline
satellite_emulated-browsing-0000,2026-04-10T10:00:06Z,19,0,190.4407480503953,0,0,0,1365.7167775579933,16.482728116292773,8159.723971316276,504.80912606004995,502.97055015519817,162.51781605138044,13.018184473994985,5.981815526005016,6900.283243566216,2566.723807744775,2.176293203526663,60669.568347215805,14815.60928622489,88156.34369324613,58157.10057892118,0.0,13.822807026539579,1.5954342005420263,satellite_emulated,browsing,delay,mild,baseline
satellite_emulated-browsing-0000,2026-04-10T10:00:07Z,15,0,188.8987108827868,0,0,0,1294.6135316370908,15.876714457005248,8148.46878646617,508.91942464899125,510.0874424932588,163.16741831402342,10.293471602834506,4.706528397165494,5500.475028043031,2035.9571653826617,2.18706246604902,62985.32373987316,15331.748245106659,99620.35953380619,66336.7962017364,0.0,10.912742389373351,1.2595533162173893,satellite_emulated,browsing,delay,mild,baseline
satellite_emulated-browsing-0000,2026-04-10T10:00:08Z,21,0,190.58433777485095,0,0,0,1218.5678249239954,16.391409951288587,8141.020199412515,509.45818308013236,510.2173929916994,164.00698448392637,14.411561302799278,6.588438697200722,7709.192228505669,2853.053906809107,2.187401593176001,61007.56450920114,15230.982615733394,86514.17836974689,57774.677790238224,0.0,15.277839345122691,1.763374642704345,satellite_emulated,browsing,delay,mild,baseline
satellite_emulated-browsing-0000,2026-04-10T10:00:09Z,13,0,180.24697789797835,0,0,0,1210.2575023954394,15.934915762067378,8245.182774388368,506.97917509574046,504.59959387061565,161.3208758775383,8.905733856561127,4.0942661434388725,4740.772684432646,1764.3515212195991,2.1751721907069257,62755.27369780467,15478.761133120148,92008.9800038102,61259.19030945797,2.0,9.457710070790238,1.0916128740550708,satellite_emulated,browsing,delay,mild,baseline
satellite_emulated-browsing-0000,2026-04-10T10:00:10Z,16,0,193.00735124708783,0,0,0,1248.6859626492687,16.10190722458232,8316.608075705124,505.24948625420717,501.87458706948956,164.2748896908094,10.970855742489558,5.029144257510441,5820.170189044962,2159.8266695446296,2.1814557667750063,62104.44427808705,15268.429582126513,82719.60765817396,54949.49330905058,0.0,11.640258548664908,1.3435235372985486,satellite_emulated,browsing,delay,mild,baseline
satellite_emulated-browsing-0000,2026-04-10T10:00:11Z,23,0,206.18141936969133,0,0,0,1240.303628596085,16.031890987806587,8220.99964722737,501.6365259120023,499.0880834614151,160.0484094468304,15.770224499262618,7.229775500737381,8306.466662195568,3082.7115455165654,2.181288270659881,62375.67363454332,15436.515022378071,91524.7275888644,59919.57893456892,0.0,16.732871663705804,1.9313150848666636,satellite_emulated,browsing,delay,mild,baseline
